;Total Cost M CLP;Percentage Cost;DifferenceCosts;FIT;Colonoscopy;FIT Costs;Colonoscopy Costs;Stage I Costs;Stage II Costs;Stage III Costs;Stage IV Costs;Treatments;StageI;StageII;StageIII;StageIV;StageI%;StageII%;StageIII%;StageIV%;YearsGained;AsymptomaticTreatments;SymptomaticTreatments;Inverted Percentage Cost;Percentage Years;Inverted Percentage Years;Efficacy Ratio;Cancer Treatments
"60-75
(15)";2589926;0.9133872541101837;-245592;18505362;1134792;108536.0;477758.0;188584;482569;393909;938570;122112;24661;42731;34053;20667;20.20%;34.99%;27.89%;16.92%;88586.0;43787.0;78325.0;0.08661274588981627;0.6439527208757978;0.3560472791242022;4.110795420077606;122112
"50-70
(20)";2756022;0.9719642054820319;-79496;26125188;1584896;153222.0;667244.0;225592;447440;400703;861821;122738;29500;39620;34641;18977;24.03%;32.28%;28.22%;15.46%;122667.0;54697.0;68041.0;0.028035794517968116;0.8916956224648532;0.10830437753514677;3.8630750223873482;122738
"55-75
(20)";2743784;0.9676482392282468;-91734;25713703;1569204;150815.0;660640.0;231749;442458;400197;857925;122973;30306;39179;34597;18891;24.64%;31.86%;28.13%;15.36%;117328.0;56032.0;66941.0;0.03235176077175317;0.8528851605774682;0.14711483942253178;4.547351856996299;122973
"50-75
(25)";2835518;1.0;0;30514753;1853638;178971.0;780387.0;255301;416806;400808;803245;122629;33384;36908;34650;17687;27.22%;30.10%;28.26%;14.42%;137566.0;63294.0;59335.0;0.0;1.0;0.0;;122629
"55-80
(25)";2831844;0.9987042931838204;-3674;29709220;1813011;174240.0;763284.0;252352;421652;400224;820092;122993;32999;37336;34600;18058;26.83%;30.36%;28.13%;14.68%;125751.0;62015.0;60978.0;0.0012957068161796315;0.914113952575491;0.085886047424509;66.28509347333873;122993
"50-80
(30)";2984627;1.052586158860568;149109;36669582;2228148;215073.0;938065.0;284493;388332;405019;753645;123197;37202;34386;35014;16595;30.20%;27.91%;28.42%;13.47%;149483.0;71767.0;51430.0;-0.052586158860568055;1.086627509704433;-0.08662750970443289;1.6473443122956615;123197
"45-75
(30)";3013498;1.0627680727119349;177980;37773701;2283985;221545.0;961565.0;284345;388549;405524;751970;123203;37182;34405;35058;16558;30.18%;27.93%;28.46%;13.44%;158888.0;71879.0;51324.0;-0.06276807271193485;1.1549946934562318;-0.15499469345623185;2.4693237622183806;123203
"45-80
(35)";3083255;1.0873692214262085;247737;41572045;2515250;243820.0;1058927.0;303571;366608;404006;706323;122639;39697;32463;34926;15553;32.37%;26.47%;28.48%;12.68%;167112.0;77294.0;45345.0;-0.08736922142620851;1.2147769070845993;-0.2147769070845993;2.458267380418383;122639
"40-85
(45)";3370988;1.1888438020848395;535470;51897894;3126058;304383.0;1316085.0;325275;347537;406626;671082;123238;42534;30774;35153;14777;34.51%;24.97%;28.52%;11.99%;182454.0;83508.0;39730.0;-0.18884380208483953;1.326301557070788;-0.3263015570707879;1.7278912702901121;123238
"35-90
(55)";3622606;1.277581732861509;787088;60737332;3644916;356225.0;1534520.0;338129;334681;409672;649379;123565;44215;29635;35416;14299;35.78%;23.98%;28.66%;11.57%;191269.0;87374.0;36191.0;-0.2775817328615089;1.3903798903798903;-0.3903798903798903;1.4063601605032803;123565
