Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;12573;807;0;309257;5127;137822;563;8304;432.0;563.0;280.0;291.0;282.0;142.0;1852.0;563.0
2024;1134598;14179;1226;0;315791;4132;141787;613;8559;331.0;613.0;329.0;241.0;253.0;121.0;2018.0;613.0
2025;1147551;13217;2078;0;321238;3679;145929;347;8737;241.0;347.0;191.0;166.0;154.0;77.0;1126.0;347.0
2026;1158690;13973;2947;0;326539;3583;149130;333;8878;227.0;333.0;186.0;141.0;143.0;90.0;1025.0;333.0
2027;1169716;13352;3975;0;331573;3538;152901;345;9060;205.0;345.0;166.0;147.0;159.0;78.0;967.0;345.0
2028;1179093;14859;4997;0;336483;3532;155936;338;9395;213.0;338.0;163.0;158.0;147.0;83.0;996.0;338.0
2029;1188955;13817;5900;0;341943;3493;159803;328;9536;214.0;328.0;171.0;151.0;149.0;71.0;1015.0;328.0
2030;1196872;14038;6462;0;347644;3503;163264;358;9685;241.0;358.0;175.0;168.0;179.0;77.0;1005.0;358.0
2031;1204448;13202;6849;0;353215;3454;167506;337;9960;265.0;337.0;174.0;169.0;173.0;86.0;1060.0;337.0
2032;1210801;13838;7239;0;357149;3383;171320;362;10294;251.0;362.0;208.0;164.0;162.0;79.0;1297.0;362.0
2033;1217400;14631;7717;0;360503;3290;174372;317;10379;243.0;317.0;170.0;165.0;142.0;83.0;940.0;317.0
2034;1224314;13184;8408;0;363655;3271;177434;348;10619;255.0;348.0;167.0;165.0;177.0;94.0;875.0;348.0
2035;1229090;13601;9171;0;366835;3253;180526;329;10815;228.0;329.0;145.0;177.0;159.0;76.0;712.0;329.0
2036;1233520;14432;9885;0;370441;3251;183677;369;10930;262.0;369.0;187.0;166.0;188.0;90.0;1087.0;369.0
2037;1238067;13860;10759;0;374562;3166;186846;372;11429;263.0;372.0;209.0;169.0;176.0;81.0;1176.0;372.0
2038;1241168;14359;11560;0;379234;3114;190174;383;11338;258.0;383.0;210.0;178.0;166.0;87.0;1281.0;383.0
2039;1243967;13505;12029;0;384498;3045;193341;376;11592;270.0;376.0;184.0;169.0;205.0;88.0;931.0;376.0
2040;1245443;13599;12428;0;389746;3023;196604;395;11813;263.0;395.0;183.0;184.0;199.0;92.0;1020.0;395.0
2041;1246614;13961;12825;0;395147;2962;198974;406;11977;246.0;406.0;221.0;166.0;177.0;88.0;1308.0;406.0
2042;1247750;11929;13164;0;400329;2901;201792;386;11841;227.0;386.0;208.0;158.0;169.0;78.0;1098.0;386.0
2043;1246515;14241;13539;0;405788;2878;203523;402;12178;249.0;402.0;178.0;196.0;204.0;73.0;1142.0;402.0
2044;1247217;14407;13802;0;411166;2831;206244;404;12316;261.0;404.0;222.0;177.0;190.0;76.0;1182.0;404.0
2045;1247822;14041;14086;0;416501;2773;206908;384;12340;273.0;384.0;187.0;183.0;195.0;92.0;1061.0;384.0
2046;1247777;13074;14366;0;421426;2690;209148;387;12330;227.0;387.0;204.0;155.0;184.0;71.0;1261.0;387.0
2047;1246485;14614;15041;0;425297;2713;209793;393;12247;250.0;393.0;196.0;167.0;195.0;85.0;1190.0;393.0
2048;1246058;14167;15584;0;429486;2657;211176;425;12686;251.0;425.0;203.0;168.0;201.0;104.0;1030.0;425.0
2049;1244641;14271;15739;0;433052;2630;211397;420;12367;275.0;420.0;214.0;196.0;213.0;72.0;1210.0;420.0
2050;1243173;14528;15677;0;437068;2597;212765;399;12660;245.0;399.0;203.0;172.0;190.0;79.0;1219.0;399.0
2051;1242024;14111;15701;0;441013;2597;212980;434;12714;264.0;434.0;201.0;190.0;215.0;92.0;1314.0;434.0
