Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;66359;4341;163;241;219;122;1247;2722;2533;5541;745;12043;14260;389.0;1828.0;932.0;313.0
2024;69199;4525;173;210;193;119;1323;2372;2233;5404;695;11332;13643;406.0;1905.0;989.0;316.0
2025;72150;4483;118;199;142;95;902;2247;1643;4314;554;9106;11416;423.0;1887.0;615.0;213.0
2026;74335;4561;108;168;154;115;826;1897;1781;5223;545;9727;12083;436.0;1920.0;522.0;186.0
2027;77178;4769;110;164;132;88;841;1852;1527;3996;494;8216;10677;453.0;2008.0;680.0;192.0
2028;78820;4976;97;190;126;89;742;2146;1458;4042;502;8388;10945;462.0;2095.0;554.0;189.0
2029;80814;5050;122;183;136;99;933;2067;1573;4496;540;9069;11669;474.0;2126.0;580.0;201.0
2030;81884;5154;117;201;164;111;895;2270;1897;5041;593;10103;12753;480.0;2170.0;588.0;225.0
2031;84009;5202;101;212;180;96;772;2394;2082;4360;589;9608;12291;493.0;2190.0;562.0;190.0
2032;84415;5278;111;205;181;117;849;2315;2094;5313;614;10571;13288;495.0;2222.0;594.0;210.0
2033;85634;5384;123;197;159;105;941;2225;1839;4768;584;9773;12542;502.0;2267.0;596.0;207.0
2034;86075;5311;120;182;187;116;918;2055;2163;5268;605;10404;13145;505.0;2236.0;659.0;225.0
2035;86278;5382;113;220;151;98;864;2485;1747;4451;582;9547;12319;506.0;2266.0;566.0;218.0
2036;85727;5289;114;211;166;109;872;2383;1920;4950;600;10125;12855;503.0;2227.0;588.0;212.0
2037;85599;5388;117;202;167;94;895;2281;1932;4269;580;9377;12147;502.0;2268.0;598.0;192.0
2038;84735;5274;129;216;149;89;986;2439;1724;4042;583;9191;11908;497.0;2220.0;689.0;190.0
2039;84910;5311;121;220;172;101;925;2485;1990;4587;614;9987;12721;498.0;2236.0;623.0;204.0
2040;85125;5343;132;230;173;122;1009;2597;2001;5541;657;11148;13896;499.0;2249.0;746.0;250.0
2041;85971;5391;138;228;169;109;1055;2575;1955;4950;644;10535;13309;504.0;2270.0;720.0;239.0
2042;87155;5336;117;220;166;112;895;2485;1920;5086;615;10386;13143;511.0;2246.0;630.0;210.0
2043;87218;5527;114;228;188;94;872;2575;2175;4269;624;9891;12730;512.0;2327.0;630.0;225.0
2044;88314;5567;130;236;182;111;994;2665;2105;5041;659;10805;13667;518.0;2344.0;638.0;216.0
2045;88880;5542;126;231;178;122;964;2609;2059;5541;657;11173;14027;521.0;2333.0;620.0;217.0
2046;90851;5622;146;217;193;103;1116;2451;2233;4678;659;10478;13378;533.0;2367.0;714.0;243.0
2047;91263;5567;123;212;184;113;941;2394;2128;5132;632;10595;13474;535.0;2344.0;697.0;223.0
2048;93941;5903;115;229;186;120;879;2586;2152;5450;650;11067;14103;551.0;2485.0;567.0;217.0
2049;95617;5785;130;267;210;97;994;3015;2429;4405;704;10843;13840;561.0;2436.0;666.0;241.0
2050;98128;6066;131;228;173;113;1002;2575;2001;5132;645;10710;13840;576.0;2554.0;681.0;232.0
2051;100164;6258;137;235;172;131;1048;2654;1990;5949;675;11641;14863;587.0;2635.0;815.0;260.0
2052;103106;6194;132;239;191;120;1009;2699;2209;5450;682;11367;14580;605.0;2608.0;742.0;240.0
2053;104920;6453;122;237;186;104;933;2676;2152;4723;649;10484;13816;615.0;2717.0;602.0;222.0
2054;107969;6683;175;249;206;119;1338;2812;2383;5404;749;11937;15384;633.0;2814.0;919.0;277.0
2055;108787;6800;154;233;217;133;1178;2631;2510;6040;737;12359;15860;638.0;2863.0;807.0;271.0
2056;110898;6775;163;236;174;139;1247;2665;2013;6313;712;12238;15740;650.0;2852.0;808.0;269.0
2057;111040;7034;150;227;191;122;1147;2564;2209;5541;690;11461;15073;651.0;2961.0;742.0;265.0
2058;112105;7076;160;237;206;126;1224;2676;2383;5722;729;12005;15641;657.0;2979.0;816.0;263.0
2059;112623;6918;156;251;213;134;1193;2835;2464;6085;754;12577;16151;661.0;2913.0;789.0;275.0
2060;113330;6924;145;244;202;125;1109;2756;2337;5677;716;11879;15459;665.0;2915.0;728.0;298.0
2061;113593;7040;159;240;208;122;1216;2710;2406;5541;729;11873;15503;666.0;2964.0;870.0;279.0
2062;113467;7159;146;244;192;138;1116;2756;2221;6267;720;12360;16039;665.0;3014.0;748.0;268.0
2063;112982;7041;143;250;198;135;1094;2823;2290;6131;726;12338;15965;663.0;2964.0;698.0;275.0
2064;111592;7013;151;249;195;112;1155;2812;2256;5086;707;11309;14916;654.0;2953.0;776.0;277.0
2065;110128;6895;143;258;199;119;1094;2914;2302;5404;719;11714;15263;646.0;2903.0;684.0;281.0
2066;108565;6817;154;245;170;108;1178;2767;1966;4905;677;10816;14323;637.0;2870.0;822.0;257.0
2067;107757;6747;148;235;195;101;1132;2654;2256;4587;679;10629;14102;632.0;2841.0;724.0;256.0
2068;106242;6669;142;253;174;130;1086;2857;2013;5904;699;11860;15291;623.0;2808.0;604.0;237.0
2069;106315;6788;144;252;205;117;1101;2846;2371;5313;718;11631;15113;624.0;2858.0;697.0;261.0
2070;104328;6488;144;226;213;122;1101;2552;2464;5541;705;11658;15001;612.0;2731.0;691.0;271.0
2071;104692;6536;152;255;191;124;1162;2880;2209;5631;722;11882;15248;614.0;2752.0;787.0;274.0
2072;103104;6414;137;255;213;114;1048;2880;2464;5177;719;11569;14874;605.0;2700.0;661.0;241.0
2073;102614;6418;136;260;200;126;1040;2936;2313;5722;722;12011;15315;602.0;2702.0;676.0;254.0
2074;101587;6269;132;243;188;119;1009;2744;2175;5404;682;11332;14567;596.0;2639.0;724.0;233.0
2075;101462;6408;139;218;206;114;1063;2462;2383;5177;677;11085;14378;595.0;2698.0;622.0;265.0
