Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125349;657;265;275;284;128;2027;3106;3285;5813;952;14231;15243;735.0;277.0;1316.0;952.0;1022.0;1235.0;519.0
2024;128040;676;307;233;240;116;2348;2631;2776;5268;896;13023;14059;751.0;285.0;1422.0;992.0;1053.0;1319.0;555.0
2025;130529;430;184;178;145;88;1407;2010;1677;3996;595;9090;10037;766.0;181.0;814.0;567.0;613.0;757.0;323.0
2026;132356;414;159;150;145;91;1216;1694;1677;4133;545;8720;9670;776.0;174.0;654.0;442.0;483.0;600.0;287.0
2027;134780;435;154;147;148;83;1178;1660;1712;3769;532;8319;9292;790.0;183.0;582.0;376.0;416.0;532.0;302.0
2028;136406;444;155;164;144;90;1185;1852;1666;4087;553;8790;9777;800.0;187.0;720.0;490.0;537.0;670.0;309.0
2029;138763;458;161;153;144;77;1231;1728;1666;3497;535;8122;9129;814.0;193.0;707.0;496.0;530.0;656.0;308.0
2030;140906;467;175;168;174;86;1338;1897;2013;3906;603;9154;10177;826.0;197.0;716.0;494.0;531.0;665.0;343.0
2031;143364;436;164;174;170;93;1254;1965;1966;4224;601;9409;10434;841.0;184.0;661.0;450.0;478.0;610.0;313.0
2032;145374;473;163;182;172;90;1247;2055;1990;4087;607;9379;10431;853.0;199.0;780.0;529.0;579.0;710.0;320.0
2033;146575;460;159;183;140;83;1216;2067;1619;3769;565;8671;9725;860.0;194.0;658.0;462.0;500.0;615.0;306.0
2034;148040;484;164;170;168;102;1254;1920;1943;4632;604;9749;10821;868.0;204.0;769.0;534.0;571.0;708.0;322.0
2035;149145;436;141;170;157;85;1078;1920;1816;3860;553;8674;9733;875.0;184.0;521.0;337.0;378.0;477.0;299.0
2036;150610;479;183;174;179;91;1399;1965;2071;4133;627;9568;10653;883.0;202.0;737.0;511.0;549.0;685.0;335.0
2037;151936;435;158;183;166;71;1208;2067;1920;3224;578;8419;9493;891.0;183.0;698.0;483.0;509.0;640.0;294.0
2038;153886;465;170;196;169;86;1300;2213;1955;3906;621;9374;10473;903.0;196.0;775.0;528.0;599.0;725.0;323.0
2039;155799;457;180;179;191;91;1377;2021;2209;4133;641;9740;10846;914.0;192.0;739.0;506.0;543.0;681.0;334.0
2040;158224;514;161;198;207;103;1231;2236;2394;4678;669;10539;11683;928.0;216.0;635.0;444.0;485.0;587.0;360.0
2041;159998;507;173;193;188;85;1323;2180;2175;3860;639;9538;10689;938.0;213.0;848.0;601.0;643.0;785.0;349.0
2042;162717;512;195;177;154;91;1491;1999;1781;4133;617;9404;10574;954.0;216.0;787.0;541.0;579.0;722.0;341.0
