Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14340;834;0;309297;5153;125349;519;138;433.0;519.0;265.0;275.0;284.0;128.0;1316.0;952.0;1022.0;1235.0;519.0
2024;1136338;14144;1225;0;315832;4202;128040;555;121;341.0;555.0;307.0;233.0;240.0;116.0;1422.0;992.0;1053.0;1319.0;555.0
2025;1149257;13669;2148;0;321258;3774;130529;323;107;272.0;323.0;184.0;178.0;145.0;88.0;814.0;567.0;613.0;757.0;323.0
2026;1160778;14866;2940;0;326566;3678;132356;287;127;258.0;287.0;159.0;150.0;145.0;91.0;654.0;442.0;483.0;600.0;287.0
2027;1172704;14227;3919;0;331595;3632;134780;302;133;230.0;302.0;154.0;147.0;148.0;83.0;582.0;376.0;416.0;532.0;302.0
2028;1183012;13868;5108;0;336509;3655;136406;309;135;244.0;309.0;155.0;164.0;144.0;90.0;720.0;490.0;537.0;670.0;309.0
2029;1191772;14221;5919;0;341993;3646;138763;308;150;227.0;308.0;161.0;153.0;144.0;77.0;707.0;496.0;530.0;656.0;308.0
2030;1200074;13522;6477;0;347652;3621;140906;343;124;260.0;343.0;175.0;168.0;174.0;86.0;716.0;494.0;531.0;665.0;343.0
2031;1207119;12594;6982;0;353173;3550;143364;313;123;288.0;313.0;164.0;174.0;170.0;93.0;661.0;450.0;478.0;610.0;313.0
2032;1212731;13909;7277;0;357119;3498;145374;320;153;287.0;320.0;163.0;182.0;172.0;90.0;780.0;529.0;579.0;710.0;320.0
2033;1219363;15021;7528;0;360494;3433;146575;306;154;259.0;306.0;159.0;183.0;140.0;83.0;658.0;462.0;500.0;615.0;306.0
2034;1226856;14010;8430;0;363670;3412;148040;322;162;282.0;322.0;164.0;170.0;168.0;102.0;769.0;534.0;571.0;708.0;322.0
2035;1232436;12625;9034;0;366846;3378;149145;299;137;254.0;299.0;141.0;170.0;157.0;85.0;521.0;337.0;378.0;477.0;299.0
2036;1236027;15053;9856;0;370418;3395;150610;335;144;292.0;335.0;183.0;174.0;179.0;91.0;737.0;511.0;549.0;685.0;335.0
2037;1241224;12772;10839;0;374556;3311;151936;294;141;284.0;294.0;158.0;183.0;166.0;71.0;698.0;483.0;509.0;640.0;294.0
2038;1243157;14864;11540;0;379184;3296;153886;323;142;298.0;323.0;170.0;196.0;169.0;86.0;775.0;528.0;599.0;725.0;323.0
2039;1246481;12980;11952;0;384459;3245;155799;334;123;307.0;334.0;180.0;179.0;191.0;91.0;739.0;506.0;543.0;681.0;334.0
2040;1247509;13967;12594;0;389721;3233;158224;360;154;309.0;360.0;161.0;198.0;207.0;103.0;635.0;444.0;485.0;587.0;360.0
2041;1248882;14661;12735;0;395096;3188;159998;349;158;290.0;349.0;173.0;193.0;188.0;85.0;848.0;601.0;643.0;785.0;349.0
2042;1250808;13832;13212;0;400278;3144;162717;341;171;276.0;341.0;195.0;177.0;154.0;91.0;787.0;541.0;579.0;722.0;341.0
