Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68681;4366;135;239;213;119;1032;2699;2464;5404;706;11599;13840;403.0;1838.0;506.0;273.0
2024;71573;4578;178;215;182;116;1361;2428;2105;5268;691;11162;13509;420.0;1927.0;683.0;307.0
2025;74482;4546;118;201;142;103;902;2270;1643;4678;564;9493;11844;437.0;1914.0;421.0;210.0
2026;76714;4650;109;167;157;117;834;1886;1816;5313;550;9849;12257;450.0;1958.0;391.0;196.0
2027;79557;4839;117;164;142;82;895;1852;1643;3724;505;8114;10618;467.0;2037.0;514.0;202.0
2028;81317;5048;94;183;132;92;719;2067;1527;4178;501;8491;11093;477.0;2125.0;388.0;181.0
2029;83310;5100;115;174;137;96;879;1965;1585;4360;522;8789;11425;489.0;2147.0;392.0;187.0
2030;84362;5218;106;201;164;109;811;2270;1897;4950;580;9928;12620;495.0;2197.0;382.0;211.0
2031;86536;5302;109;212;187;98;834;2394;2163;4451;606;9842;12582;508.0;2232.0;411.0;202.0
2032;87056;5333;110;206;171;122;841;2326;1978;5541;609;10686;13442;511.0;2245.0;381.0;197.0
2033;88207;5452;121;207;146;99;925;2338;1689;4496;573;9448;12260;517.0;2295.0;455.0;196.0
2034;88704;5404;125;192;193;118;956;2168;2233;5359;628;10716;13511;520.0;2275.0;548.0;239.0
2035;88834;5469;105;220;150;100;803;2485;1735;4541;575;9564;12387;521.0;2302.0;414.0;208.0
2036;88277;5353;114;209;165;102;872;2360;1909;4632;590;9773;12545;518.0;2254.0;437.0;199.0
2037;88132;5458;110;219;158;89;841;2473;1828;4042;576;9184;11999;517.0;2298.0;377.0;180.0
2038;87288;5346;119;220;154;91;910;2485;1781;4133;584;9309;12072;512.0;2251.0;459.0;188.0
2039;87432;5412;133;220;170;103;1017;2485;1966;4678;626;10146;12937;513.0;2278.0;501.0;221.0
2040;87722;5387;108;244;170;118;826;2756;1966;5359;640;10907;13689;514.0;2268.0;468.0;216.0
2041;88558;5413;113;235;168;112;864;2654;1943;5086;628;10547;13345;519.0;2279.0;434.0;199.0
2042;89773;5425;133;221;172;109;1017;2496;1990;4950;635;10453;13264;527.0;2284.0;530.0;230.0
