Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14444;849;0;309296;5137;125351;480;7426;433.0;480.0;245.0;271.0;272.0;125.0;1251.0;904.0;969.0;1172.0;480.0
2024;1136427;14347;1237;0;315832;4225;128037;519;7560;348.0;519.0;287.0;230.0;232.0;118.0;1277.0;884.0;947.0;1187.0;519.0
2025;1149537;15020;2008;0;321260;3837;130532;315;7651;284.0;315.0;178.0;183.0;149.0;89.0;730.0;500.0;548.0;682.0;315.0
2026;1162549;14584;3007;0;326569;3754;132370;281;7716;280.0;281.0;162.0;156.0;145.0;98.0;703.0;491.0;525.0;649.0;281.0
2027;1174126;13782;3916;0;331594;3697;134795;286;7814;239.0;286.0;150.0;152.0;139.0;84.0;598.0;395.0;432.0;546.0;286.0
2028;1183992;13180;4881;0;336513;3697;136404;303;8072;248.0;303.0;149.0;172.0;141.0;89.0;704.0;481.0;521.0;653.0;303.0
2029;1192291;14419;5917;0;341993;3714;138754;316;8163;229.0;316.0;166.0;158.0;147.0;74.0;748.0;526.0;567.0;692.0;316.0
2030;1200793;13691;6450;0;347661;3696;140897;319;8195;268.0;319.0;161.0;162.0;177.0;87.0;646.0;440.0;478.0;600.0;319.0
2031;1208034;12798;6972;0;353200;3619;143371;315;8347;292.0;315.0;166.0;183.0;166.0;92.0;697.0;487.0;504.0;646.0;315.0
2032;1213860;14347;7335;0;357158;3566;145392;322;8605;296.0;322.0;169.0;180.0;180.0;89.0;844.0;587.0;626.0;774.0;322.0
2033;1220872;13036;7666;0;360502;3475;146583;285;8611;271.0;285.0;148.0;188.0;138.0;82.0;559.0;379.0;426.0;521.0;285.0
2034;1226242;12744;8505;0;363647;3465;148049;290;8699;293.0;290.0;150.0;170.0;163.0;100.0;705.0;484.0;522.0;647.0;290.0
2035;1230481;13748;9305;0;366832;3459;149137;294;8814;258.0;294.0;138.0;172.0;155.0;87.0;546.0;356.0;397.0;503.0;294.0
2036;1234924;14953;10103;0;370400;3467;150618;332;8769;302.0;332.0;177.0;182.0;184.0;91.0;760.0;536.0;574.0;703.0;332.0
2037;1239774;13308;10827;0;374534;3375;151950;282;9085;296.0;282.0;148.0;186.0;170.0;74.0;615.0;425.0;450.0;559.0;282.0
2038;1242255;14168;11424;0;379192;3372;153873;334;9044;295.0;334.0;184.0;195.0;160.0;90.0;806.0;543.0;610.0;752.0;334.0
2039;1244999;13701;11939;0;384455;3341;155792;336;9171;312.0;336.0;186.0;178.0;190.0;94.0;792.0;543.0;584.0;733.0;336.0
2040;1246761;16057;12403;0;389715;3289;158226;340;9367;320.0;340.0;147.0;209.0;197.0;107.0;553.0;388.0;427.0;517.0;340.0
2041;1250415;14451;12788;0;395098;3250;159999;352;9464;297.0;352.0;172.0;195.0;196.0;86.0;809.0;563.0;610.0;748.0;352.0
2042;1252078;14933;13264;0;400285;3195;162719;340;9357;288.0;340.0;191.0;178.0;166.0;93.0;794.0;551.0;594.0;731.0;340.0
