Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;66356;5594;162;239;217;120;1239;2699;2510;5450;738;11898;14642;389.0;2355.0;951.0;306.0
2024;69190;5868;177;214;177;113;1354;2417;2047;5132;681;10950;13826;406.0;2470.0;1014.0;303.0
2025;72157;5873;130;194;137;96;994;2191;1585;4360;557;9130;12026;423.0;2473.0;722.0;215.0
2026;74331;6051;108;174;158;119;826;1965;1828;5404;559;10023;13007;436.0;2548.0;509.0;195.0
2027;77169;6249;108;168;142;93;826;1897;1643;4224;511;8590;11674;453.0;2631.0;613.0;204.0
2028;78819;6530;97;191;126;87;742;2157;1458;3951;501;8308;11519;462.0;2749.0;564.0;184.0
2029;80821;6648;123;175;137;100;941;1976;1585;4541;535;9043;12316;474.0;2799.0;626.0;201.0
2030;81885;6765;126;199;165;104;964;2247;1909;4723;594;9843;13171;480.0;2848.0;611.0;232.0
2031;84023;6849;115;210;180;90;879;2372;2082;4087;595;9420;12796;493.0;2883.0;644.0;201.0
2032;84407;6971;106;203;171;122;811;2293;1978;5541;602;10623;14053;495.0;2935.0;527.0;192.0
2033;85654;7117;116;204;156;104;887;2304;1805;4723;580;9719;13217;502.0;2996.0;577.0;206.0
2034;86075;7076;125;188;186;115;956;2123;2152;5223;614;10454;13938;505.0;2979.0;762.0;231.0
2035;86277;7066;107;201;150;101;818;2270;1735;4587;559;9410;12891;506.0;2975.0;518.0;197.0
2036;85740;6985;117;213;172;106;895;2405;1990;4814;608;10104;13548;503.0;2941.0;565.0;213.0
2037;85595;7065;121;218;154;93;925;2462;1781;4224;586;9392;12868;502.0;2974.0;564.0;200.0
2038;84749;7020;129;216;156;95;986;2439;1805;4314;596;9544;12996;497.0;2955.0;781.0;209.0
2039;84931;7045;122;216;176;105;933;2439;2036;4768;619;10176;13640;498.0;2966.0;640.0;213.0
2040;85131;7038;128;231;160;116;979;2609;1851;5268;635;10707;14169;499.0;2963.0;725.0;234.0
2041;85978;7088;136;230;179;105;1040;2597;2071;4768;650;10476;13964;504.0;2984.0;763.0;241.0
2042;87167;7100;131;214;165;107;1002;2417;1909;4859;617;10187;13687;511.0;2989.0;704.0;224.0
