Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;12590;857;0;309296;5154;125348;520;9860;433.0;520.0;265.0;278.0;281.0;129.0;1328.0;964.0;1028.0;1245.0;520.0
2024;1134565;14340;1198;0;315832;4201;128045;552;10005;341.0;552.0;305.0;233.0;236.0;119.0;1397.0;973.0;1039.0;1299.0;552.0
2025;1147707;13657;2056;0;321258;3771;130528;327;10172;271.0;327.0;182.0;178.0;152.0;86.0;786.0;547.0;597.0;733.0;327.0
2026;1159308;13052;3001;0;326571;3683;132362;285;10300;259.0;285.0;155.0;150.0;147.0;92.0;627.0;426.0;466.0;575.0;285.0
2027;1169359;12612;3994;0;331595;3639;134785;300;10335;230.0;300.0;152.0;148.0;147.0;83.0;624.0;411.0;448.0;568.0;300.0
2028;1177977;14697;4938;0;336520;3648;136402;326;10754;243.0;326.0;161.0;167.0;150.0;91.0;777.0;525.0;565.0;716.0;326.0
2029;1187736;14761;5907;0;342002;3636;138761;310;10886;226.0;310.0;162.0;156.0;142.0;76.0;691.0;484.0;523.0;645.0;310.0
2030;1196590;14652;6481;0;347668;3618;140907;332;10850;264.0;332.0;172.0;168.0;175.0;81.0;746.0;518.0;560.0;696.0;332.0
2031;1204761;14393;6956;0;353199;3571;143371;312;11155;283.0;312.0;170.0;171.0;165.0;89.0;705.0;482.0;505.0;648.0;312.0
2032;1212198;13938;7192;0;357143;3526;145385;327;11480;287.0;327.0;162.0;184.0;181.0;87.0;759.0;525.0;565.0;697.0;327.0
2033;1218944;14761;7834;0;360510;3427;146594;290;11508;264.0;290.0;156.0;183.0;134.0;81.0;622.0;427.0;470.0;583.0;290.0
2034;1225871;13330;8361;0;363682;3405;148033;319;11669;284.0;319.0;168.0;171.0;163.0;101.0;785.0;542.0;584.0;722.0;319.0
2035;1230840;13483;9304;0;366844;3383;149153;311;11703;258.0;311.0;146.0;180.0;159.0;84.0;590.0;394.0;431.0;544.0;311.0
2036;1235019;15102;9969;0;370416;3372;150613;331;11659;293.0;331.0;176.0;173.0;180.0;95.0;758.0;519.0;563.0;698.0;331.0
2037;1240152;14031;10936;0;374547;3295;151946;292;12061;280.0;292.0;157.0;179.0;165.0;71.0;669.0;454.0;482.0;606.0;292.0
2038;1243247;14334;11504;0;379208;3282;153889;342;12023;291.0;342.0;176.0;204.0;168.0;85.0;768.0;523.0;592.0;723.0;342.0
2039;1246077;13756;11907;0;384457;3248;155797;351;12238;299.0;351.0;182.0;176.0;198.0;94.0;761.0;529.0;571.0;704.0;351.0
2040;1247926;13736;12541;0;389715;3203;158217;348;12504;301.0;348.0;163.0;187.0;193.0;106.0;625.0;429.0;475.0;578.0;348.0
2041;1249121;14730;12981;0;395088;3160;159996;341;12481;289.0;341.0;177.0;186.0;182.0;85.0;789.0;548.0;591.0;731.0;341.0
2042;1250870;14153;13013;0;400274;3122;162710;332;12594;276.0;332.0;183.0;177.0;161.0;87.0;784.0;551.0;579.0;725.0;332.0
